Aldous Huxley
Mandy Stanley
Fiona Pragoff
Robert Lopshire
Richard Bruce Wright
Frances Itani
David Cohen
Victoria Holt
Alistair MacLean
Ian St.James
Marilyn Bowering
Timothy Findley
Diane Schoemperlen
Rhidian Brook
Christopher Wallace
Dermot Bolger
J. C. Suares
C. K. Stead
Vitaliano Brancati
Nick Page
Alwyn Crawshaw
Simone De Beauvoir
Desmond Bagley
Adrian Plass
Georges Bernanos
Mary Craig
J. P Kenyon
LIBBY PURVES
Marcus Sieff
John Harvey Jones
Dakota Hamilton
Ruth Teichroeb
Rob Payne
Robert Ludlum
Karleen Bradford
Karleen Bradford
Timothy Findley
Andrew Pyper
Arthur Slade
Michael Dobbs
Colin Bateman
Frank Mccourt
Daniel Easterman
Philippa Gregory
Isabel Wolff
Martina Devlin
Peter Hoeg
Alice Thomas Ellis
Nien Cheng
Paullina Simons
Geoff Ryman
Peter Hedges
Libby Butterworth
Jan Mark
Robert Leeson
Will Gatti
Alan Garner
Cynthia Blair
Michael Morpurgo
Jean Ure
Carolyn Keene
Matthew Thomas
Fiona Horne
Richard Littlejohn
Sue Welfare
Steve Skidmore
Pamela Stephenson
James Runcie
Lindsay Clarke
Richard Holmes
Carol Shields
Spike Milligan
Raymond Keene
Margaret Shertzer
Kirill Bulychev
Robert Coover
Mikhail Emtsev
F. Scott Fitzgerald
Joseph F. Girzone
Joseph F. Girzone
Joseph Girzone
Fitzgerald
F. Scott Fitzgerald
F. Scott Fitzgerald
Richard Llewellyn
Cathie Pelletier
Edith Wharton
Bj̦rn  Kjellstr̦m
Day
Annie Proulx
Virginia Cary Hudson
Louisa May Alcott
Carol Ryrie Brink
Susan Cooper
Hall
Virginia Hamilton
Joseph Hone
Pat Hutchins
C. S. Lewis
C. S. Lewis
C. S. Lewis
C. S. Lewis
C. S Lewis
C. S. Lewis
Robert C. O'Brien
John Miller
Arthur Plotnik
Ernest Hemingway
Ernest Hemingway
Ernest Hemingway
Ernest Hemingway
ERNEST HEMINGWAY
Ernest Hemingway
Alan Paton
Josephine Tey
Marie-Luise Kreuter
C. S. Lewis
C S Lewis
C.S. Lewis
C.S. Lewis
Ashley Montagu
Denise Lardner Carmody
Caroline Schrodes
Richard H. Green
Laurence J. Lafleur
Carl R. Rogers
Duane P. Schultz
Grace Shugart
Jr. William Strunk
Mortimer J. Adler
Lolah Burford
Barbara Bush
Stevie Daniels
James Finn Garner
Uta Hagen
Ntozake Shange
Spain
